electorate_name | candidate_name | candidate_votes | party_name | party_votes 
Northland | PRIME, Willow-Jean | 10185 | Labour Party | 10211
Northland |  |  | Animal Justice Party | 114
Northland |  |  | Freedoms NZ | 208
Northland |  |  | Leighton Baker Party | 57
Northland |  |  | New Conservatives | 64
Northland |  |  | New Nation Party | 64
Northland |  |  | NewZeal | 280
Northland |  |  | Te Pāti Māori | 716
Northland |  |  | The Opportunities Party (TOP) | 577
Northland |  |  | Women’s Rights Party | 41
Hauraki-Waikato | MAHUTA, Nanaia | 10028 | Labour Party | 11508
Hauraki-Waikato | MAIPI-CLARKE, Hana-Rawhiti | 12939 | Te Pāti Māori | 8503
Hauraki-Waikato | POKERE-PHILLIPS, Donna | 1220 |  | 
Hauraki-Waikato |  |  | ACT New Zealand | 294
Hauraki-Waikato |  |  | Animal Justice Party | 14
Hauraki-Waikato |  |  | Aotearoa Legalise Cannabis Party | 254
Hauraki-Waikato |  |  | DemocracyNZ | 23
Hauraki-Waikato |  |  | Freedoms NZ | 323
Hauraki-Waikato |  |  | Green Party | 1893
Hauraki-Waikato |  |  | Leighton Baker Party | 11
Hauraki-Waikato |  |  | National Party | 1292
Hauraki-Waikato |  |  | New Conservatives | 15
Hauraki-Waikato |  |  | New Nation Party | 8
Hauraki-Waikato |  |  | New Zealand First Party | 974
Hauraki-Waikato |  |  | New Zealand Loyal | 310
Hauraki-Waikato |  |  | NewZeal | 128
Hauraki-Waikato |  |  | The Opportunities Party (TOP) | 186
Hauraki-Waikato |  |  | Women’s Rights Party | 19
Tauranga | BALDOCK, Larry | 1039 |  | 
Tauranga | CROOKS, Justin | 2729 | Green Party | 3766
Tauranga | HARVEY, Erika | 3403 | New Zealand First Party | 3753
Tauranga | LANGRIDGE, Jono | 245 | New Conservatives | 101
Tauranga | SAMUELS, Leon | 285 |  | 
Tauranga | STOKMAN, Chelsea Jordan | 246 | Animal Justice Party | 85
Tauranga | SYDNEY, Mikaere Taingahue | 613 | Te Pāti Māori | 440
Tauranga | TINETTI, Jan | 9610 | Labour Party | 7664
Tauranga | UFFINDELL, Sam | 18980 | National Party | 19345
Tauranga | YOUNG, Christine | 3791 | ACT New Zealand | 4471
Tauranga |  |  | Aotearoa Legalise Cannabis Party | 124
Tauranga |  |  | DemocracyNZ | 66
Tauranga |  |  | Freedoms NZ | 171
